id,name,salary,bonus,hiring_year,dismissing_year
0,Albert-Rice,6303.1,2856.97,1998,2008
1,Crystal-Riley,33141.62,493.12,1997,2002
2,Steven-Serrano,19571.39,4895.8,1996,2011
3,Gabrielle-Brown,8929.35,5465.97,1995,2008
4,Gwendolyn-Dixon,28829.9,994.57,1994,2017
5,Johnathan-Fernandez,24883.07,3034.52,1993,2016
6,Mike-Arias,23020.03,4962.4,1992,2020
7,Steven-Odom,33597.63,830.79,1992,1993
8,Cassandra-Cook,7205.74,2293.08,1998,2014
9,Lucas-Christensen,12965.79,3180.84,1991,1994
10,Deborah-Morrow,3463.74,2389.09,2017,2022
11,Amber-Patel,1929.01,352.65,1998,2013
12,Manuel-Cook,3975.93,3303.39,1992,2015
13,George-Watts,12014.79,5225.5,1990,1992
14,Alicia-Parks,9637.0,779.24,1992,2010
15,Bobby-Barrera,8940.74,3721.29,1992,1997
16,Deborah-Baker,11525.2,3621.84,1992,1996
17,James-Miller,30174.82,6709.37,1990,1992
18,Paul-Weaver,9816.48,1263.39,1992,2014
19,Mark-Benson,17787.3,1156.96,1990,2003
20,Sabrina-Diaz,2719.77,2471.94,1997,2013
21,Brenda-Newman,21093.57,4288.44,1990,2004
22,Henry-White,3436.54,882.73,1997,2014
23,Tracy-Coffey,5528.62,624.9,1990,1996
24,William-Brown,14713.76,925.77,1990,1998
25,Julia-Newman,2598.86,663.89,1996,2006
26,Valerie-Taylor,19051.39,1852.74,1990,2012
27,Melanie-Hale,11520.97,4614.21,1990,2004
28,Nichole-Herrera,28522.57,3675.92,1990,2004
29,Seth-Fernandez,26876.07,3012.08,1990,2015
30,Jason-Hill,36248.85,971.44,1990,2006
31,Matthew-Bates,4381.16,1465.86,1991,1995
32,Janice-Benson,36188.51,4669.35,1990,2023
33,Dana-Mcdonald,2281.31,981.12,1995,2013
34,Elizabeth-Bennett,21781.72,3389.04,1990,2021
35,Meredith-Rodriguez,11775.54,350.83,1990,2008
36,Gina-Walker,33111.3,2307.39,1990,2009
37,Brandi-Herrera,15504.05,3212.95,1990,2005
38,Andrew-Hale,2981.87,2699.76,1992,1999
39,Caroline-Rose,5708.72,899.79,1990,2013
40,Brandi-Watson,26635.56,6925.72,1990,2004
41,Stephanie-Phillips,27237.36,2593.11,1990,2018
42,Gene-Shaw,34087.48,2249.18,1990,2021
43,Sara-Ho,12445.68,5301.74,1990,2003
44,Rick-Gibson,17090.88,4753.93,1990,2006
45,Stephanie-Fernandez,24599.13,6230.91,1990,1996
46,Benjamin-Hale,4174.76,1599.42,1991,1991
47,Laurie-Barker,35705.64,785.32,1990,2012
48,Diane-Taylor,6411.41,4525.01,1990,2013
49,Denise-Fernandez,11963.23,6862.63,1990,2004
50,Andre-Trevino,26079.34,4160.51,1990,1999
51,Candace-Hale,20556.35,2809.61,1990,1995
52,Timothy-Perez,36427.92,4286.22,1990,2001
53,Kathleen-Allen,25133.6,3680.2,1990,2002
54,William-Gibson,1792.46,1551.16,2004,2009
55,Patty-Guerrero,9889.35,2040.66,1990,2016
56,Joanna-Guerrero,32385.51,4597.12,1990,2000
57,Kristine-Guerrero,26200.73,3722.74,1990,2007
58,Michael-Brown,29300.35,263.92,1990,2020
59,Monica-White,9752.56,1723.98,1990,2010
60,Courtney-Williams,19917.12,2297.16,1990,2015
61,Jill-White,35591.06,1427.54,1990,2007
62,Tina-Christensen,2632.52,1682.17,1993,2001
63,Jason-Rodriguez,1426.28,512.87,1997,2011
64,Valerie-Thomas,13796.54,3937.85,1990,1994
65,Brandon-Brown,16761.7,3023.34,1990,2016
66,Amanda-Hale,24855.13,6820.6,1990,2003
67,Joyce-Murphy,26366.15,5350.84,1990,2023
68,Ryan-Wolfe,8756.96,5345.96,1990,2000
69,Alyssa-Elliott,18577.52,3743.38,1990,1990
70,Cody-Nelson,26443.61,2313.38,1990,1999
71,Henry-Wilkinson,11424.25,3133.0,1990,2003
72,Kristy-Marsh,1848.69,686.96,1992,1998
73,Eric-Wong,12177.25,4341.67,1990,1996
74,Wendy-Jones,3110.21,3057.9,1991,2014
75,Yvonne-Mcintyre,13318.3,4454.85,1990,1992
76,Ian-Gonzalez,26498.36,6257.96,1990,2007
77,Jim-Hunt,26199.95,4016.82,1990,1991
78,Ann-Gordon,11615.58,3074.12,1990,2001
79,Andre-Jones,1812.85,1237.28,1996,2006
80,Jason-Gallagher,27228.99,2250.92,1990,2012
81,Amber-White,26640.48,3588.29,1990,2020
82,Jason-Hayes,33118.6,4601.88,1990,2018
83,Yvonne-Dixon,26744.42,3794.08,1990,2009
84,Paul-Munoz,20291.69,3436.36,1990,2020
85,Nichole-Green,28863.23,5982.41,1990,2006
86,Nicholas-Cook,2746.03,746.01,1992,2023
87,Betty-Mathis,7367.93,2221.06,1990,2016
88,Kathleen-King,25525.92,4169.18,1990,2012
89,Kyle-Lindsey,25298.48,5171.0,1990,1999
90,Sheila-Anderson,11941.55,2007.65,1990,2023
91,Karen-Banks,20279.86,5946.19,1990,1997
92,Rhonda-Gallagher,6572.29,5012.48,1990,2023
93,Yvonne-Christian,22743.68,3865.96,1990,2015
94,Julie-Hunt,12640.31,6196.14,1990,2013
95,William-Lindsey,34056.62,5825.36,1990,1992
96,Joyce-Diaz,34471.98,5517.41,1990,2008
97,Joanna-Martin,30191.46,5749.7,1990,2009
98,Randy-Palmer,29882.64,2669.46,1990,2023
99,Brian-Benson,10594.72,6593.98,1990,1993
100,Evan-Palmer,16802.8,3530.27,1990,2019
101,Nathan-Bates,30083.24,6389.98,1990,2009
102,Brian-Pena,23382.95,1154.99,1990,2018
103,Antonio-Hicks,9873.26,3026.93,1990,1999
104,Betty-Woods,8814.5,4470.94,1990,2008
105,Luis-Watson,32508.06,2861.19,1990,1995
106,Morgan-Nelson,12999.54,894.9,1990,1996
107,Jack-Hill,9513.29,2582.68,1990,2003
108,Deborah-Hicks,3842.74,2777.28,1990,2001
109,Yvonne-Soto,30052.12,719.94,1990,1995
110,Candace-Bennett,10347.15,437.84,1990,2016
111,Olivia-Klein,24384.56,2927.7,1990,1994
112,Martha-Trevino,2269.82,1790.58,1991,2017
113,Alison-Coffey,28316.12,1811.0,1990,2000
114,Meredith-Barker,37589.87,171.03,1990,1994
115,Nicole-Christian,22136.38,3620.86,1990,2006
116,Nichole-Rice,15491.75,5382.6,1990,1991
117,Elizabeth-Ho,36478.98,2439.47,1990,2003
118,Mary-Walton,15541.46,833.51,1990,2013
119,Jimmy-Watson,8054.35,2605.91,1990,2018
120,Margaret-Riley,14964.84,5003.61,1990,1990
121,Juan-Rose,5611.98,5119.14,1990,1995
122,Jamie-Rice,21190.83,1471.81,1990,2013
123,Pamela-Anderson,30321.2,239.79,1990,2017
124,Dawn-Walker,20953.21,4802.7,1990,2004
125,Joyce-Johnson,13301.14,3331.59,1990,2023
126,Janice-Pena,7060.77,3092.04,1990,1990
127,Dustin-Wilkinson,17214.99,3708.89,1990,2023
128,Jim-Diaz,8701.36,5894.24,1990,2014
129,Bethany-Diaz,26922.95,5364.11,1990,2022
130,Nancy-Gray,16501.33,5195.69,1990,1993
131,Gina-Harrison,10903.06,336.84,1990,2008
132,Dawn-Banks,21531.49,3973.94,1990,2015
133,Rick-Coffey,1408.73,379.71,2001,2001
134,Krista-Martin,6977.9,3944.37,1990,2002
135,Thomas-Bennett,3306.52,586.93,1991,1997
136,Jamie-Smith,18478.32,165.13,1990,2023
137,Megan-Rose,23329.65,2919.03,1990,2000
138,Loretta-Herrera,18037.53,5028.69,1990,1993
139,Andre-Smith,16260.71,2925.06,1990,2003
140,Matthew-Robinson,14739.62,3358.25,1990,2010
141,Cory-Miller,14743.25,3471.11,1990,2003
142,Vanessa-Lindsey,26202.9,4259.31,1990,2020
143,Gabrielle-Young,7664.26,6722.34,1990,2010
144,Kenneth-Mathis,31015.42,6802.22,1990,1992
