id,name,salary,bonus,hiring_year,dismissing_year
0,Rhonda-Hunt,19440.93,1361.67,2009,2016
1,Ricky-Garrett,28075.84,6931.07,2001,2023
2,Marie-Johnson,11510.25,2544.1,2016,2020
3,Thomas-Riley,35018.16,1118.78,1993,1998
4,Walter-Odom,11087.0,4742.06,2019,2019
5,Karen-Elliott,34650.09,6148.55,1994,2008
6,Tyler-Patel,28587.35,3439.3,1999,2001
7,Kyle-Dixon,21390.19,1495.37,2004,2011
8,Kyle-Fernandez,11938.92,701.0,2014,2020
9,Mariah-Guerrero,8790.46,5241.24,2023,2023
10,Ronald-Pena,28983.23,1677.2,1999,2013
11,Nathaniel-Anderson,16609.82,132.33,2012,2022
12,Sara-Hunt,31570.34,4381.19,1996,2012
13,Michael-Garrett,35840.82,2629.85,1992,1999
14,Rhonda-Hunt,29727.84,3042.39,1996,2008
15,Mary-Davis,18585.36,4987.99,2012,2015
16,Ashley-Martin,19718.65,5965.63,2008,2010
17,Crystal-Howell,12778.82,3343.92,2014,2023
18,Kathleen-Sexton,22216.58,687.18,2004,2019
19,Jimmy-Walker,13301.61,1644.02,2013,2022
20,Brian-Benson,10304.38,3686.03,2021,2021
21,Theresa-Gray,27287.34,4902.57,2004,2009
22,Carrie-Shaw,11098.36,5098.07,2019,2022
23,Janice-Flores,22948.54,1486.32,2004,2022
24,Teresa-Herrera,34884.31,3456.73,1994,1999
25,Rebecca-Barker,29251.46,1221.44,1996,2014
26,Jonathan-Gibson,36623.6,1464.44,1992,2004
27,Brandy-Trevino,29164.68,4004.82,1998,2010
28,Henry-Walton,9726.29,2791.79,2022,2023
29,Sheila-Sexton,7854.04,3502.56,2023,2023
30,Derek-Taylor,28683.07,1717.83,1999,2002
31,Tonya-Barrera,33865.1,1509.57,1996,1999
32,Laura-Christensen,29386.83,1232.57,1996,2012
33,Wayne-Klein,27655.38,3086.33,2001,2014
34,John-Cook,37217.25,2383.22,1990,2000
35,Patty-Brown,4408.38,2732.95,2023,2023
36,Wayne-Wilkinson,28186.35,5135.67,2001,2007
37,Jill-Christian,19214.34,3073.11,2010,2019
38,Taylor-Alvarez,20437.79,752.87,2008,2013
39,Christian-Gibson,37061.04,2951.05,1992,1998
40,Valerie-Rose,24758.97,2147.49,2004,2017
41,Renee-Oneill,7023.93,3383.14,2023,2023
42,Karen-Fox,20497.78,1361.98,2006,2022
43,Laura-Robinson,7722.99,4988.88,2023,2023
44,Jesse-Shaw,20040.56,1036.81,2008,2013
45,Jeffrey-Anderson,31566.88,2416.94,1996,2012
46,Kaitlyn-Bates,9596.53,484.19,2023,2023
47,Marie-Martin,18769.97,3071.75,2012,2018
48,Jennifer-Murphy,20697.65,1880.7,2006,2014
49,Tanya-Pena,30129.76,3684.72,1996,2011
50,Stephanie-Phillips,23336.72,2362.79,2004,2009
51,Jared-Murphy,36748.52,6963.95,1992,1999
52,Jasmine-Alvarez,34141.12,6346.79,1994,2014
53,Gregory-Alvarez,19031.1,6093.39,2012,2021
54,Joyce-Alvarez,9917.65,3257.67,2021,2023
55,Nicole-Watts,11544.42,3460.51,2016,2022
56,Henry-Hunt,14510.31,5691.66,2013,2019
57,Krista-Brown,33193.23,3337.66,1996,2014
58,Patrick-Hayes,27870.55,6643.56,2001,2007
59,Carol-Rose,9941.33,4077.59,2021,2023
