AreaCode,Phone,City,State,Zip,HasChild,Salary,Rate,ChildExemp
207,1000772,BERWICK,ME,3901,Y,2955000,8.5,2850
801,1006893,MILLVILLE,UT,84326,N,265500,7.0,0
401,1012180,PROVIDENCE,RI,2918,N,1160500,0.0,0
301,1001278,HALETHORPE,MD,21227,Y,4533500,4.75,2400
208,1017666,DRIGGS,ID,83422,N,3399000,7.8,0
360,1002760,LAKEBAY,WA,98349,Y,2291500,0.0,0
334,1003152,BIRMINGHAM,AL,35218,Y,4325000,5.0,300
417,1000211,FENTON,MO,63026,N,4074500,6.0,0
904,1000910,PALM BEACH GARDENS,FL,33410,Y,3608000,0.0,0
701,1007036,PALERMO,ND,58769,Y,2846500,5.54,3300
479,1005669,WHITE HALL,AR,71602,Y,4743000,7.0,20
702,1001395,SPARKS,NV,89435,Y,545500,0.0,0
262,1003637,BARRON,WI,54812,N,2612000,6.75,0
318,1002168,SHREVEPORT,LA,71120,Y,4873000,6.0,1000
662,1004020,LAKE,MS,39092,N,3013000,5.0,0
769,1003293,LAWRENCE,MS,39336,Y,3717500,5.0,1500
314,1001445,RAYMORE,MO,64083,N,1855500,6.0,0
925,1000149,LOS ANGELES,CA,90058,Y,1288000,9.3,272
308,1007103,PENDER,NE,68047,Y,4850000,6.84,103
208,1000940,BOISE,ID,83708,N,4673000,7.8,0
802,1001622,LONDONDERRY,VT,5148,Y,2755500,9.5,3300
785,1002722,TECUMSEH,KS,66542,Y,964000,6.45,2250
360,1001181,KAHLOTUS,WA,99335,N,2977500,0.0,0
208,1004598,BOISE,ID,83720,N,290000,7.8,0
843,1000971,PELZER,SC,29669,N,2841500,7.0,0
870,1002634,MC CASKILL,AR,71847,N,2089500,7.0,0
732,1000395,WATCHUNG,NJ,7069,Y,2131500,8.97,1500
787,1007612,SAN JUAN,PR,923,Y,2828000,0.0,0
501,1001154,PLUMERVILLE,AR,72127,N,4503000,7.0,0
814,1000066,STONEBORO,PA,16153,Y,3405500,3.07,0
916,1000445,SANTA CLARITA,CA,91380,Y,4200000,9.3,272
605,1012314,VEBLEN,SD,57270,Y,1565000,0.0,0
913,1002299,WICHITA,KS,67218,N,4129500,6.45,0
603,1018055,BATH,NH,3740,N,152000,0.0,0
574,1002607,ALBION,IN,46701,N,3542500,3.4,0
417,1002952,DEERING,MO,63840,Y,1709500,6.0,1200
775,1002067,MESQUITE,NV,89034,Y,1660500,0.0,0
412,1001824,HONESDALE,PA,18431,Y,3242000,3.07,0
302,1010153,NEWARK,DE,19711,N,1718500,5.95,0
870,1003821,NORTH LITTLE ROCK,AR,72119,N,4810000,7.0,0
202,1019210,WASHINGTON,DC,20434,Y,587500,9.0,1370
