id,name,salary,bonus,hiring_year,dismissing_year
0,Barbara-Arias,13188.26,2571.92,1999,2000
1,Eddie-Munoz,10749.82,5250.83,2013,2020
2,Jack-Parks,35448.98,3309.11,1998,2011
3,John-Mathis,36079.03,1387.48,1991,2004
4,Kristen-Diaz,2373.65,1898.13,2015,2019
5,Savannah-Walton,11803.7,3292.92,2001,2002
6,Todd-Davis,12180.7,857.89,1999,2008
7,Albert-Marsh,17521.23,3361.28,1999,2021
8,Larry-Rice,11785.77,3366.16,2003,2019
9,Carol-Hale,34529.23,2122.73,1998,2003
10,Deborah-Christian,8088.05,2140.97,2013,2023
11,Sabrina-Stevenson,2044.97,1957.76,2023,2023
12,Alexander-Rhodes,37372.73,3908.77,1990,2008
13,Denise-Gonzalez,36265.15,1165.11,1990,2022
14,Cassandra-Gray,33989.44,2584.62,1998,2007
15,Samantha-Johnson,28749.39,4794.05,1999,2008
16,Holly-Martinez,11355.78,3470.57,2008,2020
17,Richard-Malone,12532.84,1692.64,1999,2011
18,Manuel-Brown,19449.74,4565.16,1999,2023
19,Francis-Christensen,33658.48,2693.4,1998,2014
20,Miguel-Green,25521.55,3214.39,1999,2006
21,Michael-Young,4092.33,3574.72,2014,2015
22,Dean-Gordon,35675.28,6840.1,1995,1996
23,Tanya-Mcintyre,30917.69,3652.82,1999,2013
24,Crystal-Walker,31263.36,3668.13,1999,2004
25,Eric-Patel,25659.38,3791.16,1999,2014
26,Thomas-Murphy,11004.84,5281.96,2013,2013
27,Kyle-Soto,5077.08,3735.11,2014,2018
28,Scott-Wolfe,26957.72,6051.7,1999,2007
29,Alice-Murphy,18038.7,6157.07,1999,2006
30,Nancy-Johnson,3482.84,3443.31,2015,2016
31,Natalie-Klein,11776.43,1698.43,2008,2015
32,Nancy-Perez,20784.94,3047.73,1999,2001
33,George-Green,18353.15,4403.19,1999,2021
34,Latasha-Peterson,14447.46,513.2,1999,2014
35,Tami-Baker,35745.04,3432.59,1992,2005
36,Manuel-Bates,5751.45,5426.39,2013,2022
37,Kaitlyn-Weber,32481.41,2789.58,1999,2023
38,Yvette-Oneill,25757.67,642.95,1999,2012
39,Renee-Nelson,14602.5,4113.18,1999,2022
40,Cesar-Robinson,6535.2,6396.52,2013,2017
41,Jack-Robinson,33509.26,4396.63,1999,2007
42,Dana-Shaw,14171.42,4733.84,1999,2011
43,Rick-Hicks,11842.11,925.52,2000,2020
44,Joshua-Kaiser,8150.15,2779.73,2013,2014
45,Bruce-Baker,34174.33,2113.07,1998,2014
46,Martha-Benson,31511.25,5693.85,1999,2009
47,Juan-Baker,24020.71,901.61,1999,2000
48,Eddie-Rhodes,20898.64,2503.69,1999,2014
